# Slice 1 query set. Columns: category, source, query
# category: acoustic | mood | context | compound
# source:   irene (real phrasing) | claude (fills thin categories, adds controls)
# Overlap-test pairs share a genre and differ only in context; they measure whether the
# context word contributes anything at all.
acoustic	irene	romantic classical piano
acoustic	irene	songs with heavy bass
acoustic	claude	solo piano, no vocals
acoustic	claude	acoustic guitar and soft vocals
acoustic	claude	saxophone over an upright bass
acoustic	claude	fast breakbeat drums
acoustic	claude	orchestral strings
acoustic	claude	distorted electric guitar
mood	claude	melancholy and heartbroken
mood	claude	triumphant and celebratory
mood	claude	tense and unsettling
mood	claude	calm and peaceful
mood	claude	angry and confrontational
mood	claude	playful and light-hearted
mood	claude	bittersweet, happy and sad at once
mood	claude	dreamy and floating
context	irene	late night drive vibes
context	claude	something for a rainy morning
context	claude	music for cooking dinner with friends
context	claude	background music while reading
context	claude	something to fall asleep to
context	claude	warming up before going out
context	claude	long solo walk in the cold
compound	irene	fast, upbeat rap and hip hop for running
compound	irene	r&b songs about yearning
compound	irene	groovy jazz rap
compound	irene	chill r&b and hip hop for studying
compound	irene	pre-game and club dance hip hop
compound	irene	jersey club and dancey vibes
compound	irene	west coast hip hop drive
compound	irene	afrobeats songs for the summer
compound	irene	girly pop songs to get ready to
compound	claude	hip hop for running
compound	claude	hip hop for studying
compound	claude	hip hop for falling asleep
compound	claude	hip hop
